You are now connected to database "nc_news" as user "yewenjin".
    author    |                                         title                                         | article_id |  topic   |     created_at      | votes |                                      article_img_url                                       | comment_count 
 happyamy2016 | Who Will Manage Your Club in 2021?                                                    |         14 | football | 2020-06-24 15:14:00 |     0 | https://images.pexels.com/photos/209841/pexels-photo-209841.jpeg?w=700&h=700               |             3
 grumpy19     | Halal food: Keeping pure and true                                                     |         32 | cooking  | 2020-06-18 21:08:00 |     0 | https://images.pexels.com/photos/954677/pexels-photo-954677.jpeg?w=700&h=700               |             5
 tickle122    | What to Cook This Week                                                                |         31 | cooking  | 2020-06-09 03:19:00 |     0 | https://images.pexels.com/photos/349609/pexels-photo-349609.jpeg?w=700&h=700               |            12
 grumpy19     | Learn HTML5, CSS3, and Responsive WebSite Design in One Go                            |          9 | coding   | 2020-05-26 15:06:00 |     0 | https://images.pexels.com/photos/1591061/pexels-photo-1591061.jpeg?w=700&h=700             |             8
 cooljmessy   | Stone Soup                                                                            |         35 | cooking  | 2020-05-26 07:25:00 |     0 | https://images.pexels.com/photos/33242/cooking-ingredient-cuisine-kitchen.jpg?w=700&h=700  |            14
 jessjelly    | The Rise Of Thinking Machines: How IBM's Watson Takes On The World                    |          2 | coding   | 2020-05-14 01:02:00 |     0 | https://images.pexels.com/photos/373543/pexels-photo-373543.jpeg?w=700&h=700               |             6
 jessjelly    | Please stop worrying about Angular 3                                                  |          5 | coding   | 2020-04-21 17:06:00 |     0 | https://images.pexels.com/photos/14011035/pexels-photo-14011035.jpeg?w=700&h=700           |             6
 tickle122    | Defensive Metrics: Measuring the Intensity of a High Press                            |         22 | football | 2020-04-17 13:10:00 |     0 | https://images.pexels.com/photos/906073/pexels-photo-906073.jpeg?w=700&h=700               |             8
 weegembump   | HOW COOKING HAS CHANGED US                                                            |         26 | cooking  | 2020-04-06 01:00:00 |     0 | https://images.pexels.com/photos/2284166/pexels-photo-2284166.jpeg?w=700&h=700             |            11
 weegembump   | Sunday league football                                                                |         23 | football | 2020-03-22 14:25:00 |     0 | https://images.pexels.com/photos/774321/pexels-photo-774321.jpeg?w=700&h=700               |            14
 weegembump   | TenHag the man!                                                                       |         37 | football | 2020-03-22 14:25:00 |     0 | https://images.pexels.com/photos/774321/pexels-photo-774321.jpeg?w=700&h=700               |             0
 cooljmessy   | Which current Premier League manager was the best player?                             |         17 | football | 2020-03-19 11:15:00 |     0 | https://images.pexels.com/photos/47343/the-ball-stadion-horn-corner-47343.jpeg?w=700&h=700 |            12
 tickle122    | Why do England managers keep making the same mistakes?                                |         15 | football | 2020-03-19 00:14:00 |     0 | https://images.pexels.com/photos/262524/pexels-photo-262524.jpeg?w=700&h=700               |             4
 weegembump   | Sweet potato & butternut squash soup with lemon & garlic toast                        |         25 | cooking  | 2020-03-11 21:16:00 |     0 | https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?w=700&h=700             |             4
 tickle122    | History of Football                                                                   |         20 | football | 2020-03-10 21:05:00 |     0 | https://images.pexels.com/photos/3621104/pexels-photo-3621104.jpeg?w=700&h=700             |             5
 tickle122    | The vegan carnivore?                                                                  |         36 | cooking  | 2020-03-09 21:21:00 |     0 | https://images.pexels.com/photos/1414651/pexels-photo-1414651.jpeg?w=700&h=700             |             6
 happyamy2016 | 22 Amazing open source React projects                                                 |          3 | coding   | 2020-02-29 11:12:00 |     0 | https://images.pexels.com/photos/11035471/pexels-photo-11035471.jpeg?w=700&h=700           |            10
 grumpy19     | Thanksgiving Drinks for Everyone                                                      |         27 | cooking  | 2020-01-24 23:22:00 |     0 | https://images.pexels.com/photos/1565982/pexels-photo-1565982.jpeg?w=700&h=700             |            13
 jessjelly    | Twice-Baked Butternut Squash Is the Thanksgiving Side Dish of Your Dreams             |         30 | cooking  | 2020-01-11 20:20:00 |     0 | https://images.pexels.com/photos/175753/pexels-photo-175753.jpeg?w=700&h=700               |             8
 tickle122    | A BRIEF HISTORY OF FOOD—NO BIG DEAL                                                   |         29 | cooking  | 2020-01-06 20:12:00 |     0 | https://images.pexels.com/photos/357743/pexels-photo-357743.jpeg?w=700&h=700               |            10
 happyamy2016 | High Altitude Cooking                                                                 |         28 | cooking  | 2020-01-04 00:24:00 |     0 | https://images.pexels.com/photos/691114/pexels-photo-691114.jpeg?w=700&h=700               |             5
(37 rows)

